long,lat,mag,X_mercator,Y_mercator
-178,-17,-88.56,-10550896.159148507,-1022788.7538131509
-178,-16,-132.39,-10550896.159148507,-960967.3501110679
-178,-15,-130.84,-10550896.159148507,-899454.5934235862
-178,-14,-95.09,-10550896.159148507,-838228.8587875245
-178,-13,-44.84,-10550896.159148507,-777268.9963288383
-178,-12,-12.3,-10550896.159148507,-716554.2915674171
-178,-11,-10.91,-10550896.159148507,-656064.4275175896
-178,-10,-27.61,-10550896.159148507,-595779.4484052088
-178,-9,-48.62,-10550896.159148507,-535679.7248347529
-178,-8,-63.35,-10550896.159148507,-475745.9202509508
-178,-7,-70.95,-10550896.159148507,-415958.95854917984
-178,-6,-75.44,-10550896.159148507,-356299.9926974128
-178,-5,-85.03,-10550896.159148507,-296750.37423989875
-178,-4,-99.96,-10550896.159148507,-237291.6235591521
-178,-3,-109.91,-10550896.159148507,-177905.40077825566
-178,-2,-116.47,-10550896.159148507,-118573.47719003899
-178,-1,-125.68,-10550896.159148507,-59277.70710340471
-178,0,-123.22,-10550896.159148507,0.0
-178,1,-94.05,-10550896.159148507,59277.70710340471
-178,2,-61.14,-10550896.159148507,118573.47719003899
-178,3,-45.02,-10550896.159148507,177905.40077825566
-178,4,-35.14,-10550896.159148507,237291.6235591521
-178,5,-21.47,-10550896.159148507,296750.37423989875
-178,6,-4.77,-10550896.159148507,356299.9926974128
-178,7,6.57,-10550896.159148507,415958.95854917984
-178,8,5.89,-10550896.159148507,475745.9202509508
-178,9,0.09,-10550896.159148507,535679.7248347529
-178,10,-0.56,-10550896.159148507,595779.4484052088
-178,11,3.01,-10550896.159148507,656064.4275175896
-178,12,6.99,-10550896.159148507,716554.2915674171
-178,13,6.84,-10550896.159148507,777268.9963288383
-178,14,4.36,-10550896.159148507,838228.8587875245
-178,15,4.86,-10550896.159148507,899454.5934235862
-178,16,6.6,-10550896.159148507,960967.3501110679
-178,17,5.65,-10550896.159148507,1022788.7538131509
-178,18,2.2,-10550896.159148507,1084940.94626637
-178,19,-3.66,-10550896.159148507,1147446.6298631658
-178,20,-10.46,-10550896.159148507,1210329.11396013
-178,21,-15.14,-10550896.159148507,1273612.363859635
-178,22,-14.61,-10550896.159148507,1337321.0527354085
-178,23,-10.27,-10550896.159148507,1401480.616798391
-178,24,-5.38,-10550896.159148507,1466117.314028258
-178,25,-2.66,-10550896.159148507,1531258.2868287156
-178,26,-1.53,-10550896.159148507,1596931.6290016281
-178,27,-1.17,-10550896.159148507,1663166.4574767638
-178,28,-1.24,-10550896.159148507,1729992.9892811559
-178,29,-1.42,-10550896.159148507,1797442.6242855263
-178,30,-1.64,-10550896.159148507,1865548.0343258735
-178,31,-1.33,-10550896.159148507,1934343.2593672343
-178,32,-0.9,-10550896.159148507,2003863.8114550377
-178,33,-1.01,-10550896.159148507,2074146.7872889389
-178,34,-1.39,-10550896.159148507,2145230.9903561836
-178,35,-1.83,-10550896.159148507,2217157.0636785803
-178,36,-2.18,-10550896.159148507,2289967.6343614184
-178,37,-2.6,-10550896.159148507,2363707.4712870806
-178,38,-3.24,-10550896.159148507,2438423.6574741653
-178,39,-3.85,-10550896.159148507,2514165.778828651
-178,40,-4.15,-10550896.159148507,2590986.131252102
-178,41,-4.67,-10550896.159148507,2668939.9483489143
-178,42,-5.65,-10550896.159148507,2748085.652297438
-178,43,-6.51,-10550896.159148507,2828485.1308270334
-178,44,-6.53,-10550896.159148507,2910204.0436853105
-178,45,-4.53,-10550896.159148507,2993312.1624999014
-178,46,-0.75,-10550896.159148507,3077883.7485526614
-178,47,4.18,-10550896.159148507,3163997.9737107884
-178,48,8.53,-10550896.159148507,3251739.3906227383
-178,49,10.44,-10550896.159148507,3341198.4593167556
-178,50,10.18,-10550896.159148507,3432472.1385733904
-178,51,8.61,-10550896.159148507,3525664.55192683
-178,52,6.86,-10550896.159148507,3620887.739941865
-178,53,4.31,-10550896.159148507,3718262.5125877024
-178,54,0.74,-10550896.159148507,3817919.4181811535
